end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,681.5757985,1515143,2223,2019,subs
368,Carmine St & 6 Ave,40.73038599,-74.00214988,749.9428733,5303596,7072,2019,subs
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,696.7941298,1685545,2419,2019,subs
372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,1973.909091,1063937,539,2019,subs
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,821.9480519,506320,616,2019,subs
376,John St & William St,40.70862144,-74.00722156,1030.269063,1891574,1836,2019,subs
377,6 Ave & Canal St,40.72243797,-74.00566443,822.7369596,4053625,4927,2019,subs
379,W 31 St & 7 Ave,40.749156,-73.9916,713.6247102,5233010,7333,2019,subs
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,718.8565433,3768246,5242,2019,subs
382,University Pl & E 14 St,40.73492695,-73.99200509,587.3953906,1962488,3341,2019,subs
383,Greenwich Ave & Charles St,40.735238,-74.000271,657.0645492,2565180,3904,2019,subs
385,E 55 St & 2 Ave,40.75797322,-73.96603308,798.2592339,2334110,2924,2019,subs
386,Centre St & Worth St,40.71494807,-74.00234482,833.3306189,1534995,1842,2019,subs
387,Centre St & Chambers St,40.71273266,-74.0046073,856.6045665,2588659,3022,2019,subs
388,W 26 St & 10 Ave,40.74971775,-74.00295035,808.1290166,4979691,6162,2019,subs
389,Broadway & Berry St,40.71044554,-73.96525063,816.1821503,1563805,1916,2019,subs
390,Duffield St & Willoughby St,40.69221589,-73.9842844,780.3263971,1312509,1682,2019,subs
391,Clark St & Henry St,40.69760127,-73.99344559,790.39686,1812380,2293,2019,subs
392,Jay St & Tech Pl,40.695065,-73.987167,1092.031677,1758171,1610,2019,subs
393,E 5 St & Avenue C,40.72299208,-73.97995466,852.2659672,1868167,2192,2019,subs
394,E 9 St & Avenue C,40.72521311,-73.97768752,730.299734,2470604,3383,2019,subs
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,821.3797468,584001,711,2019,subs
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,706.5960265,426784,604,2019,subs
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,886.3512433,1996063,2252,2019,subs
