start station id,start station name,start station latitude,start station longitude,start duration mean,start duration sum,start duration count,start year,start type
459,W 20 St & 11 Ave,40.746745,-74.007756,848.1253043,6619618,7805,2019,subs
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,1217.75232,4198810,3448,2019,subs
461,E 20 St & 2 Ave,40.73587678,-73.98205027,712.2749071,3832039,5380,2019,subs
462,W 22 St & 10 Ave,40.74691959,-74.00451887,842.3121766,5533991,6570,2019,subs
465,Broadway & W 41 St,40.75513557,-73.98658032,716.5819946,4282294,5976,2019,subs
466,W 25 St & 6 Ave,40.74395411,-73.99144871,692.2143363,3911011,5650,2019,subs
467,Dean St & 4 Ave,40.68312489,-73.97895137,643.3819444,1482352,2304,2019,subs
468,Broadway & W 56 St,40.7652654,-73.98192338,705.8525658,2599655,3683,2019,subs
469,Broadway & W 53 St,40.76344058,-73.98268129,715.0695045,2150214,3007,2019,subs
470,W 20 St & 8 Ave,40.74345335,-74.00004031,689.5006221,3324772,4822,2019,subs
471,Grand St & Havemeyer St,40.71286844,-73.95698119,857.5379558,1434661,1673,2019,subs
472,E 32 St & Park Ave,40.7457121,-73.98194829,626.3254513,3469843,5540,2019,subs
473,Rivington St & Chrystie St,40.72110063,-73.9919254,784.9660823,2059751,2624,2019,subs
474,5 Ave & E 29 St,40.7451677,-73.98683077,727.2125951,3441170,4732,2019,subs
476,E 31 St & 3 Ave,40.74394314,-73.97966069,713.3850471,3177417,4454,2019,subs
477,W 41 St & 8 Ave,40.75640548,-73.9900262,1023.245266,7726525,7551,2019,subs
478,11 Ave & W 41 St,40.76030096,-73.99884222,817.3229237,3611750,4419,2019,subs
479,9 Ave & W 45 St,40.76019252,-73.9912551,1020.575481,5036540,4935,2019,subs
480,W 53 St & 10 Ave,40.76669671,-73.99061728,775.4160363,2562750,3305,2019,subs
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,743.8775411,1536851,2066,2019,subs
482,W 15 St & 7 Ave,40.73935542,-73.99931783,764.0872371,3669911,4803,2019,subs
483,E 12 St & 3 Ave,40.73223272,-73.98889957,628.1796785,3282867,5226,2019,subs
484,W 44 St & 5 Ave,40.75500254,-73.98014437,808.6930865,2795652,3457,2019,subs
485,W 37 St & 5 Ave,40.75038009,-73.98338988,703.2177659,2367031,3366,2019,subs
486,Broadway & W 29 St,40.7462009,-73.98855723,782.0169072,5365418,6861,2019,subs
487,E 20 St & FDR Drive,40.73314259,-73.97573881,725.8592871,3481947,4797,2019,subs
490,8 Ave & W 33 St,40.751551,-73.993934,762.5982463,6174758,8097,2019,subs
491,E 24 St & Park Ave S,40.74096374,-73.98602213,695.0654339,4886310,7030,2019,subs
492,W 33 St & 7 Ave,40.75019995,-73.99093085,733.2915368,5883198,8023,2019,subs
493,W 45 St & 6 Ave,40.7568001,-73.98291153,718.5519702,2315893,3223,2019,subs
494,W 26 St & 8 Ave,40.74734825,-73.99723551,860.4785992,4422860,5140,2019,subs
495,W 47 St & 10 Ave,40.76269882,-73.99301222,764.8207847,2884904,3772,2019,subs
496,E 16 St & 5 Ave,40.73726186,-73.99238967,677.0081315,3829835,5657,2019,subs
497,E 17 St & Broadway,40.73704984,-73.99009296,749.748291,8006562,10679,2019,subs
498,Broadway & W 32 St,40.74854862,-73.98808416,695.3385269,490909,706,2019,subs
499,Broadway & W 60 St,40.76915505,-73.98191841,927.8186595,7239769,7803,2019,subs
500,Broadway & W 51 St,40.76228826,-73.98336183,674.4791072,2598768,3853,2019,subs
501,FDR Drive & E 35 St,40.744219,-73.97121214,942.0625818,4320299,4586,2019,subs
502,Henry St & Grand St,40.714215,-73.981346,665.1532258,2144454,3224,2019,subs
503,E 20 St & Park Ave,40.73827428,-73.98751968,694.379397,3316356,4776,2019,subs
504,1 Ave & E 16 St,40.73221853,-73.98165557,644.2389465,4720983,7328,2019,subs
505,6 Ave & W 33 St,40.74901271,-73.98848395,672.7253589,702998,1045,2019,subs
507,E 25 St & 2 Ave,40.73912601,-73.97973776,716.9426409,3599769,5021,2019,subs
508,W 46 St & 11 Ave,40.76341379,-73.99667444,881.4004474,3151888,3576,2019,subs
509,9 Ave & W 22 St,40.7454973,-74.00197139,462.875,18515,40,2019,subs
513,W 56 St & 10 Ave,40.768254,-73.988639,824.0882784,2249761,2730,2019,subs
514,12 Ave & W 40 St,40.76087502,-74.00277668,1171.179444,9013397,7696,2019,subs
